FIPS,State,County,Uninsured Adults # Uninsured Adults,Uninsured Adults % Uninsured Adults,Uninsured Adults 95% CI - Low,Uninsured Adults 95% CI - High,Uninsured Children # Uninsured Children,Uninsured Children % Uninsured Children,Uninsured Children 95% CI - Low,Uninsured Children 95% CI - High,Other Primary Care Providers Other Primary Care Provider Rate,Other Primary Care Providers Other Primary Care Provider Ratio
1000,Alabama,,427677,15,14,15,47300,4,4,5,116,865:1
1001,Alabama,Autauga,4389,12,11,14,580,4,3,5,50,1992:1
1003,Alabama,Baldwin,18101,13,12,15,2615,5,4,6,84,1196:1
1005,Alabama,Barbour,1967,16,14,19,201,4,3,5,81,1235:1
1007,Alabama,Bibb,1739,14,12,16,182,4,3,5,141,710:1
1009,Alabama,Blount,5541,16,14,18,674,5,3,6,35,2834:1
1011,Alabama,Bullock,766,16,13,19,64,3,2,4,59,1700:1
1013,Alabama,Butler,1580,15,13,17,167,4,3,5,97,1036:1
1015,Alabama,Calhoun,11102,17,14,19,1109,4,3,6,90,1113:1
1017,Alabama,Chambers,3140,16,13,18,282,4,3,5,26,3788:1
1019,Alabama,Cherokee,2270,16,14,18,219,4,3,6,99,1012:1
1021,Alabama,Chilton,4839,18,16,21,605,5,4,7,37,2699:1
1023,Alabama,Choctaw,1072,16,13,18,132,5,3,7,48,2073:1
1025,Alabama,Clarke,1961,15,13,17,225,5,3,6,89,1126:1
1027,Alabama,Clay,1318,16,14,19,162,5,4,7,35,2840:1
1029,Alabama,Cleburne,1304,15,13,18,194,5,4,7,13,7673:1
1031,Alabama,Coffee,4890,15,13,17,743,6,4,7,80,1246:1
1033,Alabama,Colbert,4415,13,11,15,513,4,3,5,160,624:1
1035,Alabama,Conecuh,884,14,12,16,93,4,3,5,45,2241:1
1037,Alabama,Coosa,800,13,11,16,78,4,3,6,39,2542:1
1039,Alabama,Covington,3433,16,14,19,446,5,4,7,120,836:1
1041,Alabama,Crenshaw,1262,17,14,19,179,6,4,8,100,1002:1
1043,Alabama,Cullman,7900,15,13,17,997,5,3,6,110,907:1
1045,Alabama,Dale,4163,15,12,17,445,4,3,5,79,1270:1
1047,Alabama,Dallas,2857,14,12,16,288,3,2,5,84,1186:1
1049,Alabama,DeKalb,10550,25,22,28,1065,6,4,8,96,1043:1
1051,Alabama,Elmore,7452,15,13,17,874,4,3,6,42,2357:1
1053,Alabama,Escambia,3328,17,15,20,392,5,3,6,71,1410:1
1055,Alabama,Etowah,9847,16,14,18,968,4,3,6,113,881:1
1057,Alabama,Fayette,1380,15,13,18,148,4,3,6,62,1612:1
1059,Alabama,Franklin,3463,19,16,21,509,6,4,8,66,1521:1
1061,Alabama,Geneva,2632,17,15,20,285,5,3,6,34,2976:1
1063,Alabama,Greene,577,14,12,17,51,3,2,4,27,3711:1
1065,Alabama,Hale,1266,16,13,18,161,5,3,6,69,1460:1
1067,Alabama,Henry,1419,15,12,17,196,5,4,7,23,4414:1
1069,Alabama,Houston,9853,16,14,18,952,4,3,5,202,496:1
1071,Alabama,Jackson,5278,17,15,19,554,5,3,6,87,1150:1
1073,Alabama,Jefferson,50333,13,12,14,5558,4,3,4,196,510:1
1075,Alabama,Lamar,1128,15,12,17,147,5,3,6,80,1246:1
1077,Alabama,Lauderdale,8519,16,13,18,838,4,3,6,121,827:1
1079,Alabama,Lawrence,3625,19,16,21,399,5,4,7,42,2372:1
1081,Alabama,Lee,16072,14,12,16,1517,4,3,5,75,1339:1
1083,Alabama,Limestone,8980,14,12,16,1107,4,3,6,65,1540:1
1085,Alabama,Lowndes,750,14,11,16,84,4,2,5,31,3259:1
1087,Alabama,Macon,1413,14,12,17,96,3,2,4,97,1029:1
1089,Alabama,Madison,26882,11,10,13,3692,4,3,5,155,645:1
1091,Alabama,Marengo,1493,14,12,16,166,4,3,5,75,1339:1
1093,Alabama,Marion,2816,17,14,19,259,4,3,5,96,1041:1
1095,Alabama,Marshall,10790,19,17,21,1136,4,3,6,106,947:1
1097,Alabama,Mobile,41548,17,16,19,3470,4,3,5,163,615:1
1099,Alabama,Monroe,1738,16,13,18,150,4,2,5,67,1493:1
1101,Alabama,Montgomery,19856,16,14,18,2013,4,3,5,169,593:1
1103,Alabama,Morgan,12454,17,15,20,1516,5,4,7,92,1090:1
1105,Alabama,Perry,677,16,13,19,64,4,3,5,75,1339:1
1107,Alabama,Pickens,1438,15,12,17,172,5,3,6,37,2671:1
1109,Alabama,Pike,2842,15,12,17,287,4,3,6,115,869:1
1111,Alabama,Randolph,1945,16,13,18,216,5,3,6,85,1183:1
1113,Alabama,Russell,5081,15,12,17,483,3,2,5,36,2788:1
1115,Alabama,St. Clair,7223,13,11,15,833,4,3,5,70,1423:1
1117,Alabama,Shelby,13204,10,9,11,1811,3,3,4,68,1475:1
1119,Alabama,Sumter,989,15,12,17,89,4,2,5,17,5927:1
1121,Alabama,Talladega,6636,14,12,16,614,4,3,5,62,1614:1
1123,Alabama,Tallapoosa,3694,16,14,18,421,5,3,7,112,891:1
1125,Alabama,Tuscaloosa,16578,12,11,14,1682,3,2,4,112,894:1
1127,Alabama,Walker,5826,16,14,18,650,4,3,6,95,1055:1
1129,Alabama,Washington,1265,15,12,17,135,4,3,5,66,1512:1
1131,Alabama,Wilcox,842,15,12,17,98,4,3,6,89,1118:1
1133,Alabama,Winston,2302,17,14,19,249,5,3,7,67,1485:1
2000,Alaska,,66604,15,14,16,15076,8,7,10,179,559:1
2013,Alaska,Aleutians East,619,23,19,27,34,14,9,18,88,1133:1
2016,Alaska,Aleutians West,784,21,17,24,108,17,12,23,273,366:1
2020,Alaska,Anchorage,23539,13,12,14,5227,7,6,9,228,438:1
2050,Alaska,Bethel,1763,22,19,25,367,7,5,9,186,537:1
2060,Alaska,Bristol Bay,91,18,15,21,26,14,10,19,347,288:1
2063,Alaska,Chugach,693,16,14,19,179,11,8,15,29,3437:1
2066,Alaska,Copper River,259,18,15,21,80,12,8,16,232,432:1
2068,Alaska,Denali,153,15,12,17,29,10,7,13,189,528:1
2070,Alaska,Dillingham,524,23,19,26,117,9,6,12,106,945:1
2090,Alaska,Fairbanks North Star,8369,14,13,16,1728,7,6,9,204,489:1
2100,Alaska,Haines,151,12,10,15,29,7,5,10,146,685:1
2105,Alaska,Hoonah-Angoon,233,18,15,22,43,10,7,14,219,457:1
2110,Alaska,Juneau,2490,12,11,14,547,8,6,10,133,754:1
2122,Alaska,Kenai Peninsula,5518,16,14,18,1350,10,7,12,160,626:1
2130,Alaska,Ketchikan Gateway,1370,16,14,19,281,10,7,12,153,654:1
2150,Alaska,Kodiak Island,1716,22,18,25,384,12,9,16,110,909:1
2158,Alaska,Kusilvak,747,23,19,26,135,5,3,7,48,2070:1
2164,Alaska,Lake and Peninsula,190,25,21,29,48,13,9,17,217,460:1
2170,Alaska,Matanuska-Susitna,10856,16,15,18,2728,9,7,11,104,960:1
2180,Alaska,Nome,939,20,18,23,267,10,7,12,153,656:1
2185,Alaska,North Slope,961,15,13,18,218,8,6,11,56,1801:1
2188,Alaska,Northwest Arctic,729,21,18,25,224,10,7,13,148,675:1
2195,Alaska,Petersburg,400,21,18,24,107,15,10,19,119,840:1
2198,Alaska,Prince of Wales-Hyder,684,22,18,25,154,13,9,17,124,807:1
