FIPS,State,County,High School Graduation Cohort Size,High School Graduation High School Graduation Rate,Disconnected Youth % Disconnected Youth,Disconnected Youth 95% CI - Low,Disconnected Youth 95% CI - High,Reading Scores Average Grade Performance,Reading Scores Average Grade Performance (AIAN),Reading Scores Average Grade Performance (Asian),Reading Scores Average Grade Performance (Black),Reading Scores Average Grade Performance (Hispanic),Reading Scores Average Grade Performance (White),Math Scores Average Grade Performance,Math Scores Average Grade Performance (AIAN),Math Scores Average Grade Performance (Asian),Math Scores Average Grade Performance (Black),Math Scores Average Grade Performance (Hispanic),Math Scores Average Grade Performance (White),School Segregation Segregation Index,School Funding Adequacy Spending per Pupil,School Funding Adequacy School Funding Adequacy
1000,Alabama,,51440,91,8,7,9,2.885602535,,,,,,2.72218766,,,,,,0.2749319439,10693,-7912
1001,Alabama,Autauga,620,87,7,2,12,3.12696818,,,2.605717333,,3.328546491,2.91727955,,,2.353697303,2.865180133,3.091920037,0.0515393092,9098,-3607
1003,Alabama,Baldwin,2363,89,8,5,12,3.192380762,,,2.569883503,2.685681918,3.374600785,3.037911538,,,2.324328135,2.746378501,3.206115511,0.0909458578,11638,-537
1005,Alabama,Barbour,449,85,,,,2.389161313,,,2.14283534,2.146840076,2.848986081,2.00862944,,,1.780238701,1.905975096,2.425860237,0.0388895948,8807,-23627
1007,Alabama,Bibb,216,88,,,,2.688775131,,,2.213056213,,2.824307507,2.56336673,,,2.227899043,,2.664329915,0.0898022166,10694,-6971
1009,Alabama,Blount,591,98,10,4,15,2.901714404,,,,2.56462632,2.977789554,2.781496533,,,,2.527824192,2.838913694,0.1047763317,9138,-2789
1011,Alabama,Bullock,90,82,,,,2.110535605,,,,,,1.96826778,,,,,,0.0090371541,11541,-38453
1013,Alabama,Butler,205,80,,,,2.526134007,,,2.334512306,,2.990664659,2.118341767,,,1.891334405,,2.588469601,0.1212558709,10067,-15081
1015,Alabama,Calhoun,1218,92,8,4,12,2.945480411,,,2.536704979,2.638109971,3.180664485,2.786958409,,,2.385294342,2.58256557,2.999173063,0.1895589264,10743,-10277
1017,Alabama,Chambers,290,87,17,8,26,2.634106621,,,2.390015562,2.114966844,3.089914321,2.497681651,,,2.203305079,2.144872207,2.936481153,0.1316636213,11037,-26351
1019,Alabama,Cherokee,256,92,,,,2.784754319,,,,,,2.646747671,,,,,,0.0571417872,10914,-1664
1021,Alabama,Chilton,556,89,,,,2.822341241,,,2.44112483,2.577644425,2.955913358,2.720820186,,,2.148215505,2.687054091,2.814001008,0.0711980639,9645,-3360
1023,Alabama,Choctaw,95,92,,,,2.549412685,,,2.487373601,,2.6322231,2.128404244,,,2.180820508,,2.094062474,0.1405884235,13153,-22099
1025,Alabama,Clarke,264,92,23,12,34,3.008578223,,,2.812642746,,3.331679066,2.777250911,,,2.597129164,,3.024510093,0.0279928226,11286,-14396
1027,Alabama,Clay,109,82,,,,2.783569439,,,2.073237712,,2.984763085,2.529710142,,,2.03787649,,2.648678687,0.0158452088,10305,-6581
1029,Alabama,Cleburne,169,98,,,,3.122187396,,,,,,3.075677455,,,,,,0.1091380919,10170,-223
1031,Alabama,Coffee,690,92,12,6,19,3.020489127,,,2.49242194,2.566151825,3.321048733,2.87277299,,,2.281459131,2.629843822,3.133080572,0.0764044824,10616,-6093
1033,Alabama,Colbert,529,91,,,,3.015519633,,,2.612710623,2.666743829,3.151360029,2.896152953,,,2.507863088,2.929025671,2.992078436,0.0667704265,11803,-5103
1035,Alabama,Conecuh,154,92,,,,2.267557265,,,2.219608402,,3.072794665,2.333427736,,,2.140246582,,3.043288059,0.1632321737,12535,-20956
1037,Alabama,Coosa,,,,,,2.481397373,,,2.320856395,,2.775466747,2.3088048,,,2.180291959,,2.381167956,0.0054238895,11911,-14097
1039,Alabama,Covington,397,95,,,,2.934725219,,,2.453613763,,3.076250452,2.668121746,,,2.124031015,,2.811695541,0.0847154044,10529,-8223
1041,Alabama,Crenshaw,165,88,19,6,32,2.79990848,,,2.60458411,,2.888942206,2.553168923,,,2.388412657,,2.641371346,0.0295429781,9984,-8255
1043,Alabama,Cullman,893,95,10,5,14,3.119827164,,,,2.624649165,3.192453907,2.99585269,,,,2.723462714,3.041554518,0.0483589124,10666,204
1045,Alabama,Dale,460,94,11,6,16,2.898242053,,,2.365442731,2.462377966,3.170344538,2.746068748,,,2.35672462,2.272214979,3.0211197,0.0852824851,10540,-7531
1047,Alabama,Dallas,379,80,17,8,27,2.482947088,,,2.437447223,,2.820877669,2.2260336,,,2.177184772,,2.67011431,0.2227589193,12628,-30630
1049,Alabama,DeKalb,829,93,11,6,16,2.651262829,,,,2.049436172,2.889557726,2.723096127,,,,2.396787866,2.847875379,0.1650513428,10530,-4148
1051,Alabama,Elmore,930,89,14,9,19,3.04220366,,,2.595922673,2.795577243,3.228623622,2.95007406,,,2.535474087,2.96947218,3.128870978,0.0817318632,9568,-7385
1053,Alabama,Escambia,345,89,26,10,42,2.881991581,,,2.677395637,,3.03911613,2.714771458,,,2.415322833,,2.950618814,0.1719273682,10912,-9384
1055,Alabama,Etowah,1054,91,6,3,8,3.010232137,,,2.80314849,2.44393431,3.136245753,2.782795678,,,2.463753636,2.333553388,2.918468744,0.2306877959,10330,-9222
1057,Alabama,Fayette,147,98,,,,2.893179563,,,2.023972488,,3.054313137,2.734799249,,,2.237218758,,2.847738453,0.1064401362,10387,-3384
1059,Alabama,Franklin,452,95,,,,2.567992701,,,,2.170231658,2.804919701,2.52922847,,,,2.294438018,2.652104802,0.1746892916,11326,-4702
1061,Alabama,Geneva,255,96,,,,3.05403059,,,2.802342267,2.86089073,3.137033855,2.868606676,,,2.603056823,2.401372441,2.966963881,0.0356878299,10249,-5665
1063,Alabama,Greene,74,82,,,,2.467139733,,,,,,2.569736548,,,,,,,13678,-46688
1065,Alabama,Hale,175,92,,,,2.781441538,,,2.645002494,,3.074862687,2.586428052,,,2.410881309,,2.982631055,0.2524612131,9944,-14408
1067,Alabama,Henry,184,98,,,,2.815581462,,,2.629142429,,2.920503284,2.734985739,,,2.407483307,,2.872121409,0.06748602,9529,-5647
1069,Alabama,Houston,1023,89,7,5,9,2.972277798,,,2.486318215,2.700027819,3.40688838,2.770071872,,,2.246370293,2.615202168,3.204492032,0.1733832373,10752,-8717
1071,Alabama,Jackson,553,94,11,5,16,3.058069377,,,2.59621433,2.670016945,3.072300841,2.727648275,,,2.414168622,2.683648401,2.693399988,0.107370985,11074,-1941
1073,Alabama,Jefferson,7203,91,7,6,9,2.78853869,,3.445286906,2.379602624,2.305758851,3.455145043,2.600071796,,3.571736593,2.108575082,2.327324516,3.30688529,0.3461816651,12261,-16855
1075,Alabama,Lamar,151,92,,,,3.088662981,,,,,,3.050683052,,,,,,0.0160767793,10105,-3916
1077,Alabama,Lauderdale,943,96,4,1,6,3.130774043,,,2.569234109,2.941420368,3.262844144,3.015394475,,,2.560568125,3.331649982,3.069390954,0.192259912,11330,-2981
1079,Alabama,Lawrence,328,92,,,,2.863666439,,,1.945394022,,2.907058003,2.740176195,,,2.279230376,,2.783071654,0.0719400947,10917,-2967
1081,Alabama,Lee,1621,91,,,,3.101688832,,,2.718169175,2.619136276,3.375346862,2.998968313,,3.63661703,2.516771738,2.720453407,3.255065406,0.0963409318,10622,-5116
1083,Alabama,Limestone,1341,89,9,4,14,2.879799087,,,2.618602011,2.44850081,3.07121377,2.756358833,,,2.391624446,2.500076562,2.903069833,0.0798087077,8814,-3144
1085,Alabama,Lowndes,77,82,,,,2.229613109,,,,,,2.169597265,,,,,,0.0754452462,16197,-38643
1087,Alabama,Macon,137,92,9,3,14,2.294061132,,,,,,1.973541421,,,,,,0.0783778396,13562,-31816
