FIPS,State,County,Broadband Access % Households with Broadband Access,Broadband Access # Households with Broadband Access,Broadband Access 95% CI - Low,Broadband Access 95% CI - High
1000,Alabama,,84,1619717,83,84
1001,Alabama,Autauga,89,19869,87,91
1003,Alabama,Baldwin,89,80742,88,90
1005,Alabama,Barbour,68,6151,64,72
1007,Alabama,Bibb,80,5752,74,85
1009,Alabama,Blount,83,17890,80,85
1011,Alabama,Bullock,61,2105,52,70
1013,Alabama,Butler,79,5599,75,82
1015,Alabama,Calhoun,83,37248,82,85
1017,Alabama,Chambers,78,10273,75,81
1019,Alabama,Cherokee,78,7780,75,81
1021,Alabama,Chilton,81,13734,78,85
1023,Alabama,Choctaw,69,3625,64,75
1025,Alabama,Clarke,71,5796,67,75
1027,Alabama,Clay,75,4096,69,80
1029,Alabama,Cleburne,74,4255,69,79
1031,Alabama,Coffee,85,17281,83,86
1033,Alabama,Colbert,76,17657,74,78
1035,Alabama,Conecuh,67,2969,60,73
1037,Alabama,Coosa,78,3138,73,84
1039,Alabama,Covington,78,11033,75,80
1041,Alabama,Crenshaw,65,3155,61,69
1043,Alabama,Cullman,85,28440,83,86
1045,Alabama,Dale,83,16047,80,85
1047,Alabama,Dallas,76,11201,72,80
1049,Alabama,DeKalb,83,21286,81,85
1051,Alabama,Elmore,88,28361,86,90
1053,Alabama,Escambia,71,9289,68,75
1055,Alabama,Etowah,84,32406,82,85
1057,Alabama,Fayette,73,4502,69,78
1059,Alabama,Franklin,62,6989,58,66
1061,Alabama,Geneva,74,7703,71,78
1063,Alabama,Greene,56,1609,48,64
1065,Alabama,Hale,71,3815,66,75
1067,Alabama,Henry,79,5283,75,83
1069,Alabama,Houston,83,34312,82,84
1071,Alabama,Jackson,83,17198,81,85
1073,Alabama,Jefferson,87,231144,86,88
1075,Alabama,Lamar,70,3635,66,74
1077,Alabama,Lauderdale,80,30737,78,82
1079,Alabama,Lawrence,70,8960,65,74
1081,Alabama,Lee,86,56058,84,88
1083,Alabama,Limestone,88,33854,86,89
1085,Alabama,Lowndes,62,2461,56,67
1087,Alabama,Macon,71,5069,68,74
1089,Alabama,Madison,90,143789,89,91
1091,Alabama,Marengo,77,5692,73,81
1093,Alabama,Marion,75,8314,72,78
1095,Alabama,Marshall,87,31363,86,89
1097,Alabama,Mobile,81,129736,80,82
1099,Alabama,Monroe,61,4421,56,65
1101,Alabama,Montgomery,87,77889,86,88
1103,Alabama,Morgan,81,39119,80,83
1105,Alabama,Perry,66,2023,58,74
1107,Alabama,Pickens,75,5295,71,78
1109,Alabama,Pike,76,9118,72,80
1111,Alabama,Randolph,80,6973,77,83
1113,Alabama,Russell,75,17563,72,78
1115,Alabama,St. Clair,89,30218,88,91
1117,Alabama,Shelby,93,77692,92,93
1119,Alabama,Sumter,70,3352,64,75
1121,Alabama,Talladega,84,27163,82,86
1123,Alabama,Tallapoosa,80,13132,77,83
1125,Alabama,Tuscaloosa,86,72979,85,87
1127,Alabama,Walker,80,19850,78,82
1129,Alabama,Washington,71,3934,66,76
1131,Alabama,Wilcox,72,2582,66,78
1133,Alabama,Winston,77,7013,74,80
2000,Alaska,,89,236265,89,90
2013,Alaska,Aleutians East,58,519,52,63
2016,Alaska,Aleutians West,78,752,66,89
2020,Alaska,Anchorage,94,100245,93,95
2050,Alaska,Bethel,77,3522,74,80
2060,Alaska,Bristol Bay,78,221,71,84
2063,Alaska,Chugach,89,2449,84,94
2066,Alaska,Copper River,78,845,71,84
2068,Alaska,Denali,83,435,78,88
2070,Alaska,Dillingham,76,1047,45,100
2090,Alaska,Fairbanks North Star,89,32046,87,92
2100,Alaska,Haines,82,641,74,89
2105,Alaska,Hoonah-Angoon,61,527,55,66
2110,Alaska,Juneau,92,11973,90,94
2122,Alaska,Kenai Peninsula,85,19834,83,88
2130,Alaska,Ketchikan Gateway,89,4982,89,90
2150,Alaska,Kodiak Island,90,3978,87,93
2158,Alaska,Kusilvak,77,1426,72,81
2164,Alaska,Lake and Peninsula,75,244,66,83
2170,Alaska,Matanuska-Susitna,91,35664,90,92
2180,Alaska,Nome,83,2306,81,84
2185,Alaska,North Slope,64,1396,58,71
2188,Alaska,Northwest Arctic,85,1503,82,87
2195,Alaska,Petersburg,82,1032,80,85
2198,Alaska,Prince of Wales-Hyder,73,1711,70,76
2201,Alaska,Prince of Wales-Outer Ketchikan,,,,
2220,Alaska,Sitka,87,3019,84,91
2230,Alaska,Skagway,89,365,83,95
2232,Alaska,Skagway-Hoonah-Angoon,,,,
2240,Alaska,Southeast Fairbanks,75,1647,69,81
2261,Alaska,Valdez-Cordova,,,,
2270,Alaska,Wade Hampton,,,,
2275,Alaska,Wrangell,81,752,77,85
2280,Alaska,Wrangell-Petersburg,,,,
2282,Alaska,Yakutat,83,191,69,96
2290,Alaska,Yukon-Koyukuk,48,993,42,53
4000,Arizona,,89,2443288,89,89
4001,Arizona,Apache,47,9366,45,50
4003,Arizona,Cochise,85,42240,84,86
4005,Arizona,Coconino,82,42749,81,84
4007,Arizona,Gila,76,17272,73,79
4009,Arizona,Graham,82,9896,79,85
4011,Arizona,Greenlee,85,2822,80,91
4012,Arizona,La Paz,70,6276,66,75
4013,Arizona,Maricopa,91,1517233,91,91
4015,Arizona,Mohave,85,81361,84,87
4017,Arizona,Navajo,69,25809,67,70
4019,Arizona,Pima,90,379666,89,90
4021,Arizona,Pinal,91,137171,90,91
4023,Arizona,Santa Cruz,82,13717,79,86
4025,Arizona,Yavapai,89,94939,88,90
4027,Arizona,Yuma,84,62771,83,85
5000,Arkansas,,82,965688,82,83
5001,Arkansas,Arkansas,75,4910,71,79
5003,Arkansas,Ashley,75,5368,71,78
5005,Arkansas,Baxter,82,15549,79,84
5007,Arkansas,Benton,91,94868,90,92
5009,Arkansas,Boone,86,13031,83,89
5011,Arkansas,Bradley,73,2604,67,78
5013,Arkansas,Calhoun,77,1154,68,86
5015,Arkansas,Carroll,82,9325,79,85
5017,Arkansas,Chicot,75,2990,70,79
5019,Arkansas,Clark,78,6180,74,81
5021,Arkansas,Clay,76,4617,72,80
5023,Arkansas,Cleburne,81,8633,78,84
5025,Arkansas,Cleveland,73,1996,66,79
5027,Arkansas,Columbia,76,5919,71,80
5029,Arkansas,Conway,77,6490,73,81
5031,Arkansas,Craighead,86,36219,84,87
5033,Arkansas,Crawford,81,18525,78,85
5035,Arkansas,Crittenden,84,15618,82,86
5037,Arkansas,Cross,79,5183,76,82
5039,Arkansas,Dallas,71,1621,64,77
5041,Arkansas,Desha,72,3322,67,77
5043,Arkansas,Drew,76,5274,71,81
5045,Arkansas,Faulkner,90,42751,89,92
5047,Arkansas,Franklin,74,4978,70,78
5049,Arkansas,Fulton,61,2936,55,68
5051,Arkansas,Garland,82,35533,81,84
5053,Arkansas,Grant,83,5721,79,87
5055,Arkansas,Greene,84,14982,83,86
5057,Arkansas,Hempstead,78,5702,73,82
5059,Arkansas,Hot Spring,76,8992,72,80
5061,Arkansas,Howard,76,3982,72,81
5063,Arkansas,Independence,68,9811,65,71
5065,Arkansas,Izard,62,3022,58,67
5067,Arkansas,Jackson,76,4645,72,80
5069,Arkansas,Jefferson,75,18284,73,77
5071,Arkansas,Johnson,69,6831,65,73
5073,Arkansas,Lafayette,67,1699,61,73
5075,Arkansas,Lawrence,80,5094,77,84
5077,Arkansas,Lee,75,1933,68,81
5079,Arkansas,Lincoln,58,1947,51,64
5081,Arkansas,Little River,74,3493,68,79
5083,Arkansas,Logan,77,6495,74,81
5085,Arkansas,Lonoke,86,23822,85,88
5087,Arkansas,Madison,83,5195,79,87
5089,Arkansas,Marion,85,6092,82,89
5091,Arkansas,Miller,79,12598,77,82
5093,Arkansas,Mississippi,81,12178,78,84
5095,Arkansas,Monroe,73,2051,68,77
5097,Arkansas,Montgomery,75,2709,71,80
5099,Arkansas,Nevada,68,2133,58,77
5101,Arkansas,Newton,73,2118,67,79
5103,Arkansas,Ouachita,82,6900,79,85
5105,Arkansas,Perry,78,2972,74,81
5107,Arkansas,Phillips,76,4704,71,81
5109,Arkansas,Pike,77,3073,73,81
5111,Arkansas,Poinsett,78,7099,75,81
5113,Arkansas,Polk,77,5912,72,81
5115,Arkansas,Pope,84,19780,81,86
5117,Arkansas,Prairie,71,2368,65,78
5119,Arkansas,Pulaski,86,143560,84,87
5121,Arkansas,Randolph,71,5077,65,76
5123,Arkansas,St. Francis,75,6036,71,78
5125,Arkansas,Saline,87,42242,85,89
5127,Arkansas,Scott,73,2857,67,79
5129,Arkansas,Searcy,72,2122,67,76
5131,Arkansas,Sebastian,82,42587,80,84
5133,Arkansas,Sevier,78,4301,72,83
5135,Arkansas,Sharp,67,4629,63,71
5137,Arkansas,Stone,59,2804,53,66
5139,Arkansas,Union,77,11435,74,79
5141,Arkansas,Van Buren,74,5077,70,79
5143,Arkansas,Washington,87,81427,86,88
5145,Arkansas,White,83,23961,81,85
5147,Arkansas,Woodruff,62,1627,55,69
5149,Arkansas,Yell,78,6015,73,82
6000,California,,91,12177584,91,92
6001,California,Alameda,93,543926,93,93
6003,California,Alpine,86,372,75,96
6005,California,Amador,86,13525,83,89
6007,California,Butte,90,74793,89,91
6009,California,Calaveras,85,14700,82,89
6011,California,Colusa,80,5967,76,84
6013,California,Contra Costa,95,386830,94,95
6015,California,Del Norte,90,8536,87,92
6017,California,El Dorado,92,69018,91,93
6019,California,Fresno,85,271630,85,86
6021,California,Glenn,86,8364,83,89
6023,California,Humboldt,89,48378,87,90
6025,California,Imperial,87,41105,86,89
6027,California,Inyo,83,6478,79,86
6029,California,Kern,88,244140,87,89
6031,California,Kings,87,37797,85,88
6033,California,Lake,83,22113,82,85
6035,California,Lassen,86,7664,83,89
6037,California,Los Angeles,90,3033814,90,90
6039,California,Madera,89,39009,88,90
6041,California,Marin,95,98289,94,95
6043,California,Mariposa,83,6338,79,88
6045,California,Mendocino,86,29582,84,88
6047,California,Merced,89,73795,88,90
6049,California,Modoc,79,2697,74,84
6051,California,Mono,90,4910,84,95
6053,California,Monterey,92,120237,91,92
6055,California,Napa,93,45577,92,93
6057,California,Nevada,90,37396,89,92
6059,California,Orange,94,998118,93,94
6061,California,Placer,93,141422,92,93
6063,California,Plumas,84,6836,81,88
6065,California,Riverside,92,687967,91,92
6067,California,Sacramento,93,522208,92,93
6069,California,San Benito,93,18477,92,95
6071,California,San Bernardino,91,597783,90,91
6073,California,San Diego,94,1076360,93,94
6075,California,San Francisco,92,330463,91,92
6077,California,San Joaquin,90,212847,89,90
6079,California,San Luis Obispo,91,98779,90,92
6081,California,San Mateo,94,249603,94,95
6083,California,Santa Barbara,92,135639,91,92
6085,California,Santa Clara,95,615536,94,95
6087,California,Santa Cruz,93,89290,92,93
6089,California,Shasta,89,62941,87,90
6091,California,Sierra,77,874,67,87
6093,California,Siskiyou,84,15779,82,86
6095,California,Solano,93,143933,92,93
6097,California,Sonoma,93,177193,93,94
6099,California,Stanislaus,90,157613,89,90
6101,California,Sutter,87,28903,86,89
6103,California,Tehama,83,20496,80,86
6105,California,Trinity,78,4296,73,84
6107,California,Tulare,86,120423,85,87
