FIPS,State,County,Children in Single-Parent Households # Children in Single-Parent Households,Children in Single-Parent Households # Children in Households,Children in Single-Parent Households % Children in Single-Parent Households,Children in Single-Parent Households 95% CI - Low,Children in Single-Parent Households 95% CI - High,Children in Single-Parent Households National Z-Score
1000,Alabama,,338752,1107484,31,30,31,
1001,Alabama,Autauga,3125,13765,23,18,28,-0.137016176
1003,Alabama,Baldwin,9398,49330,19,16,22,-0.497661739
1005,Alabama,Barbour,2608,5148,51,44,57,2.6245021727
1007,Alabama,Bibb,1438,4682,31,21,40,0.6542490074
1009,Alabama,Blount,3108,13531,23,18,28,-0.110646365
1011,Alabama,Bullock,1370,2173,63,51,75,3.0
1013,Alabama,Butler,1663,4234,39,32,46,1.5001406461
1015,Alabama,Calhoun,7991,24423,33,28,37,0.8523687188
1017,Alabama,Chambers,1819,7182,25,18,33,0.12223603
1019,Alabama,Cherokee,1377,4701,29,21,38,0.5138190027
1021,Alabama,Chilton,2083,10692,19,14,25,-0.455132775
1023,Alabama,Choctaw,975,2526,39,28,49,1.4331022943
1025,Alabama,Clarke,2100,5072,41,33,50,1.7101842086
1027,Alabama,Clay,591,2910,20,14,27,-0.373404909
1029,Alabama,Cleburne,801,3446,23,13,33,-0.083496967
1031,Alabama,Coffee,4058,12624,32,27,37,0.7956687052
1033,Alabama,Colbert,3925,11966,33,26,40,0.8604792599
1035,Alabama,Conecuh,1247,2368,53,33,73,2.8220524022
1037,Alabama,Coosa,580,1658,35,22,48,1.075869393
1039,Alabama,Covington,2756,8222,34,27,40,0.9314537806
1041,Alabama,Crenshaw,821,3020,27,18,36,0.3057802274
1043,Alabama,Cullman,3850,19643,20,16,23,-0.443477258
1045,Alabama,Dale,3363,11388,30,25,34,0.5374699735
1047,Alabama,Dallas,5200,8982,58,49,67,3.3389458919
1049,Alabama,DeKalb,3608,17145,21,17,25,-0.300829932
1051,Alabama,Elmore,4765,19056,25,20,30,0.0904348264
1053,Alabama,Escambia,3283,8333,39,32,47,1.5120228373
1055,Alabama,Etowah,7312,22076,33,28,38,0.8921533315
1057,Alabama,Fayette,959,3436,28,18,37,0.3773845141
1059,Alabama,Franklin,2381,7916,30,21,39,0.5915227711
1061,Alabama,Geneva,1142,5834,20,13,26,-0.44594184
1063,Alabama,Greene,1119,1696,66,48,84,3.0
1065,Alabama,Hale,1692,3444,49,36,62,2.4732267299
1067,Alabama,Henry,1081,3508,31,22,39,0.6643149689
1069,Alabama,Houston,8079,24382,33,31,36,0.8934529291
1071,Alabama,Jackson,2932,10840,27,23,31,0.2922027532
1073,Alabama,Jefferson,54585,152035,36,34,38,1.1668413632
1075,Alabama,Lamar,551,3026,18,11,26,-0.580871997
1077,Alabama,Lauderdale,4747,18182,26,21,31,0.1993816959
1079,Alabama,Lawrence,1434,7172,20,14,26,-0.40450446
1081,Alabama,Lee,9137,36479,25,22,29,0.0945872651
1083,Alabama,Limestone,4123,22973,18,14,22,-0.606721276
1085,Alabama,Lowndes,1194,2237,53,42,65,2.8926346233
1087,Alabama,Macon,1696,3141,54,44,64,2.9539226084
1089,Alabama,Madison,21583,83620,26,23,28,0.1700035283
1091,Alabama,Marengo,2141,4350,49,36,63,2.4820641341
