FIPS,State,County,Poor or Fair Health % Fair or Poor Health,Poor or Fair Health 95% CI - Low,Poor or Fair Health 95% CI - High,Poor or Fair Health National Z-Score,Poor Physical Health Days Average Number of Physically Unhealthy Days,Poor Physical Health Days 95% CI - Low,Poor Physical Health Days 95% CI - High,Poor Physical Health Days National Z-Score,Poor Mental Health Days Average Number of Mentally Unhealthy Days,Poor Mental Health Days 95% CI - Low,Poor Mental Health Days 95% CI - High,Poor Mental Health Days National Z-Score
1000,Alabama,,18,16,19,,3.9347354029,3.6086452756,4.2608255303,,5.869319841,5.4512176816,6.2874220004,
1001,Alabama,Autauga,17,15,20,-0.104937861,3.9102650589,3.0834568712,4.8366868207,0.0089032419,5.7032041246,4.6670532858,6.8609250878,0.7799597707
1003,Alabama,Baldwin,15,13,18,-0.567077787,3.7309428675,2.9592832871,4.5160493035,-0.268649381,5.3736661513,4.445590441,6.2737119961,0.2384464887
1005,Alabama,Barbour,27,24,31,2.0957284547,5.0234883184,4.1049135342,6.1020672374,1.7319361428,6.0142940199,4.8888485905,7.2931987872,1.2911582481
1007,Alabama,Bibb,22,19,25,0.9293753073,4.552794934,3.6635343761,5.5894943526,1.0034028673,5.8245833931,4.7096034958,7.0472939375,0.9794162564
1009,Alabama,Blount,19,16,22,0.18114876,4.2463351824,3.3591558267,5.1970396812,0.5290683344,5.6648506119,4.5519597026,6.8187906257,0.7169353601
1011,Alabama,Bullock,31,27,35,2.8439550021,5.152511842,4.1922469437,6.202806531,1.9316371231,5.9731447807,4.7639814773,7.2691509693,1.2235397599
1013,Alabama,Butler,23,20,27,1.2374685916,4.6273770571,3.703182941,5.6353856882,1.1188401355,6.0808851568,4.9223991163,7.3046247612,1.4005841353
1015,Alabama,Calhoun,21,18,24,0.6652953495,4.4995565219,3.634720275,5.521838648,0.9210011255,5.6966110465,4.6886232972,6.8716466333,0.769125695
1017,Alabama,Chambers,22,19,25,0.9293753073,4.5047834942,3.6057394886,5.5045375478,0.9290913672,5.8122116703,4.6903907373,7.012644058,0.9590864226
1019,Alabama,Cherokee,21,17,24,0.6212820231,4.4630638204,3.5647288715,5.4464532856,0.864518183,6.2288247593,5.0810889632,7.4640231928,1.6436858905
1021,Alabama,Chilton,21,18,24,0.6212820231,4.4265003935,3.53383451,5.3620267704,0.8079257727,5.938820536,4.8310556289,7.081564082,1.167136444
1023,Alabama,Choctaw,24,21,28,1.3915152337,4.7080016701,3.6685435214,5.6625607924,1.2436298932,6.3228641698,5.0184483217,7.5015859747,1.7982161539
1025,Alabama,Clarke,24,20,27,1.303488581,4.6354480319,3.7315471597,5.63837378,1.1313322884,5.8319293219,4.7323681825,7.0045705121,0.9914874541
1027,Alabama,Clay,21,18,25,0.7753286652,4.5029965914,3.6099520485,5.4719266346,0.9263256216,6.1151816307,4.9463004819,7.352043578,1.4569418168
1029,Alabama,Cleburne,20,16,23,0.4452287179,4.4307071016,3.4844681965,5.4588528291,0.8144368623,6.065322307,4.9032291745,7.2773259678,1.3750104821
1031,Alabama,Coffee,19,16,23,0.3572020652,4.3175946489,3.4843663985,5.2253205698,0.6393628367,5.8034341828,4.7757556661,6.8578188141,0.9446628161
1033,Alabama,Colbert,19,16,22,0.2031554231,4.2350575374,3.3439203712,5.2438647482,0.5116129379,5.848336339,4.6957172817,7.0726499247,1.0184482853
1035,Alabama,Conecuh,24,21,28,1.4795418863,4.8020457473,3.8586741852,5.7983369708,1.3891901281,6.1071598277,4.9291183078,7.3435080912,1.4437599889
1037,Alabama,Coosa,20,18,23,0.5332553705,4.3481492695,3.4922518785,5.3336372867,0.6866548925,5.8768926923,4.7554413908,7.0968589915,1.0653735135
1039,Alabama,Covington,21,17,24,0.6212820231,4.4749603742,3.5979041342,5.4020672741,0.8829315187,5.8097887394,4.6925174807,6.9212669454,0.9551049414
1041,Alabama,Crenshaw,22,18,25,0.8193419916,4.4211922488,3.5031116835,5.3953409489,0.7997098934,5.9555558563,4.7649748216,7.1621656417,1.1946367595
1043,Alabama,Cullman,18,15,21,0.0931221073,4.2639491118,3.3694866737,5.2682333622,0.5563309519,5.5284692271,4.4239847427,6.8033481668,0.4928266465
1045,Alabama,Dale,21,18,24,0.6212820231,4.2740285709,3.4304061941,5.2494832868,0.5719318114,5.9870645533,4.9397807155,7.1267455138,1.2464134265
1047,Alabama,Dallas,27,23,30,1.9416818126,4.8658222456,3.9254210191,5.9437344133,1.4879025867,6.1575732829,5.0224391381,7.396157731,1.5266019003
1049,Alabama,DeKalb,23,20,27,1.1714486021,4.8039531539,3.8411214321,5.838657074,1.392142388,6.1839528052,5.0572713405,7.4422605652,1.5699500509
1051,Alabama,Elmore,17,14,20,-0.192964514,3.8046287203,2.9847278452,4.7544422313,-0.154599349,5.309149368,4.2863656692,6.4339783437,0.1324292831
1053,Alabama,Escambia,26,22,29,1.6996085179,4.9764452109,4.0581575189,6.0382287629,1.6591234152,6.3647470217,5.2340998051,7.6446225605,1.8670401512
1055,Alabama,Etowah,20,17,23,0.5112487073,4.4061573208,3.5071270356,5.3540042695,0.7764390217,6.2614191204,5.1611883332,7.4165050859,1.6972465751
1057,Alabama,Fayette,22,19,26,0.9293753073,4.6835734051,3.7559036741,5.7357513351,1.2058201332,6.1465422702,4.994452441,7.4069352884,1.5084751884
1059,Alabama,Franklin,23,20,26,1.1494419389,4.6851960879,3.687342682,5.7133666332,1.2083317011,5.8831513177,4.6835871002,7.1754993432,1.0756579998
1061,Alabama,Geneva,22,19,26,1.0394086231,4.7571534292,3.8192471502,5.7870917913,1.3197063652,6.2342426762,5.0507465551,7.4562638405,1.6525888825
1063,Alabama,Greene,32,28,37,3.0,5.5104002397,4.4851532937,6.6229409398,2.4855722649,6.4185197768,5.182011514,7.727997527,1.9554022322
1065,Alabama,Hale,26,23,30,1.85365516,4.8595371501,3.8741853935,5.8840589623,1.4781745952,6.0104927222,4.7808274805,7.2270642978,1.2849117656
1067,Alabama,Henry,20,17,24,0.5332553705,4.2347735606,3.3512486913,5.2206434101,0.5111734022,5.6298429127,4.5348270276,6.8188780383,0.6594089576
1069,Alabama,Houston,20,17,23,0.4232220547,4.2400305567,3.4318023867,5.0951626557,0.5193101144,5.5117854859,4.5751438272,6.5361623652,0.4654110884
1071,Alabama,Jackson,21,17,24,0.6652953495,4.4972696107,3.5846824444,5.5580629979,0.9174614732,6.1012787781,4.9390458637,7.3881556488,1.434095954
1073,Alabama,Jefferson,18,16,21,0.1591420968,3.9092960007,3.2378787362,4.7110328379,0.0074033458,5.8104695506,5.0387727293,6.6674961414,0.9562236844
1075,Alabama,Lamar,21,17,24,0.6432886863,4.5087104855,3.5592984348,5.5204361499,0.9351695148,5.998327859,4.7801620505,7.2698860263,1.2649218539
1077,Alabama,Lauderdale,18,15,21,0.0050954547,4.0945309237,3.2306598269,5.0319304054,0.2941076201,5.8421498165,4.7285429112,6.9778140922,1.0082822821
1079,Alabama,Lawrence,21,18,24,0.6873020126,4.4779221593,3.583072215,5.4714797299,0.8875157323,6.002357859,4.8300775777,7.2250234997,1.2715441515
1081,Alabama,Lee,17,15,20,-0.082931198,4.0102079046,3.195814092,4.7965291737,0.1635935162,5.2508169444,4.2735315367,6.1620187448,0.0365745268
1083,Alabama,Limestone,17,14,20,-0.148951187,3.8626481522,3.0450108489,4.757269633,-0.064797605,5.5074668599,4.4568162028,6.6196726535,0.4583145061
1085,Alabama,Lowndes,28,24,32,2.2057617705,4.8238046787,3.8200280138,5.8570145479,1.4228683273,5.9696874333,4.7522832791,7.2189069588,1.2178584737
1087,Alabama,Macon,25,21,29,1.5675685389,4.487153413,3.5855430077,5.5290705605,0.9018037502,5.7324084384,4.5828701925,6.9652851049,0.82794976
1089,Alabama,Madison,14,12,17,-0.743131093,3.4678391999,2.7224730866,4.2287024853,-0.675877915,5.1002879667,4.2015729887,6.003000002,-0.210782219
