FIPS,State,County,Gender Pay Gap Women's Median Earnings,Gender Pay Gap Men's Median Earnings,Gender Pay Gap Gender Pay Gap,Gender Pay Gap 95% CI - Low,Gender Pay Gap 95% CI - High,Median Household Income Median Household Income,Median Household Income 95% CI - Low,Median Household Income 95% CI - High,Median Household Income Household Income (AIAN),Median Household Income Household Income (AIAN) 95% CI - Low,Median Household Income Household Income (AIAN) 95% CI - High,Median Household Income Household Income (Asian),Median Household Income Household Income (Asian) 95% CI - Low,Median Household Income Household Income (Asian) 95% CI - High,Median Household Income Household Income (Black),Median Household Income Household Income (Black) 95% CI - Low,Median Household Income Household Income (Black) 95% CI - High,Median Household Income Household Income (Hispanic),Median Household Income Household Income (Hispanic) 95% CI - Low,Median Household Income Household Income (Hispanic) 95% CI - High,Median Household Income Household Income (White),Median Household Income Household Income (White) 95% CI - Low,Median Household Income Household Income (White) 95% CI - High,Children Eligible for Free or Reduced Price Lunch % Enrolled in Free or Reduced Lunch
1000,Alabama,,42408,56937,0.7448232257,0.7347193295,0.7549271218,59703,58849,60557,,,,,,,,,,,,,,,,49
1001,Alabama,Autauga,44270,59330,0.7461655149,0.6201660959,0.8721649339,70148,61519,78777,,,,,,,50763,42915,58611,80917,47537,114297,75863,70773,80953,28
1003,Alabama,Baldwin,43785,60598,0.722548599,0.6747486559,0.770348542,71704,65122,78286,58350,36547,80153,96071,43750,148392,38223,30352,46094,56507,41841,71173,76739,73434,80044,37
1005,Alabama,Barbour,34611,44519,0.7774433388,0.6419062799,0.9129803977,41151,35723,46579,,,,60063,29771,90355,25703,23456,27950,35265,10390,60140,61822,53538,70106,57
1007,Alabama,Bibb,37603,46492,0.8088058161,0.5548815937,1.0627300384,54309,46470,62148,,,,,,,21563,2386,40740,,,,58896,51058,66734,49
1009,Alabama,Blount,42748,48778,0.8763786953,0.77878229,0.9739751006,60553,52695,68411,,,,143472,113846,173098,40125,893,79357,62054,39815,84293,57282,53366,61198,43
1011,Alabama,Bullock,27667,41202,0.6714965293,0.5400942596,0.802898799,35798,30564,41032,,,,,,,26383,20534,32232,65179,50089,80269,76146,42374,109918,76
1013,Alabama,Butler,34774,44714,0.7776982601,0.6057496466,0.9496468735,41852,36176,47528,53454,46633,60275,,,,33716,28656,38776,20000,3515,36485,53713,45394,62032,71
1015,Alabama,Calhoun,39994,52719,0.7586259223,0.6839946931,0.8332571516,52772,47618,57926,,,,43860,27745,59975,38769,32696,44842,45458,15802,75114,59390,57099,61681,51
1017,Alabama,Chambers,36279,47206,0.7685251875,0.684507007,0.8525433679,45563,39172,51954,,,,28274,16381,40167,43419,35494,51344,81152,68679,93625,53852,44738,62966,66
1019,Alabama,Cherokee,42386,48257,0.8783388938,0.6361842308,1.1204935569,52613,46834,58392,28558,27361,29755,,,,56518,15586,97450,40883,38660,43106,46777,42273,51281,54
1021,Alabama,Chilton,40348,54135,0.7453218805,0.6442479511,0.8463958099,61823,56535,67111,88635,88475,88795,,,,33072,26849,39295,62073,40331,83815,64409,59731,69087,55
1023,Alabama,Choctaw,36443,65041,0.5603081133,0.4266734107,0.693942816,44458,38014,50902,,,,,,,32434,24316,40552,,,,51022,45921,56123,76
1025,Alabama,Clarke,34554,52872,0.6535406264,0.5440509616,0.7630302913,44906,38299,51513,,,,,,,34358,22136,46580,,,,58722,51088,66356,70
1027,Alabama,Clay,43565,51620,0.8439558311,0.6241328138,1.0637788484,49599,43139,56059,,,,,,,33075,24617,41533,96250,10507,181993,51026,46401,55651,53
1029,Alabama,Cleburne,41008,51769,0.7921342889,0.698222177,0.8860464008,49248,43056,55440,,,,,,,40240,23932,56548,50913,22572,79254,53798,48486,59110,46
1031,Alabama,Coffee,39391,59824,0.6584481145,0.5641460747,0.7527501542,62429,56389,68469,,,,,,,37083,24383,49783,52742,14256,91228,70622,66838,74406,46
1033,Alabama,Colbert,37964,54239,0.6999391582,0.6092749514,0.790603365,54593,47865,61321,95463,26459,164467,,,,32984,29479,36489,35234,12535,57933,63913,58535,69291,41
1035,Alabama,Conecuh,32587,45978,0.7087520118,0.4025357524,1.0149682712,36106,30730,41482,,,,,,,36496,29343,43649,,,,51672,45284,58060,71
1037,Alabama,Coosa,28891,55496,0.520596079,0.3898504357,0.6513417223,49485,42394,56576,,,,,,,34764,27646,41882,,,,66026,54986,77066,63
1039,Alabama,Covington,37385,49938,0.7486282991,0.6569349298,0.8403216684,46958,42529,51387,30536,25052,36020,,,,29645,20621,38669,46898,43196,50600,53916,49692,58140,48
1041,Alabama,Crenshaw,36537,47140,0.7750742469,0.6820437417,0.8681047522,49161,43144,55178,,,,175221,90599,259843,25502,22225,28779,51462,39009,63915,58327,51014,65640,64
1043,Alabama,Cullman,36651,53292,0.6877392479,0.6312727038,0.744205792,61774,56607,66941,51563,41415,61711,,,,63594,27529,99659,52172,24508,79836,57943,55369,60517,36
1045,Alabama,Dale,36031,49518,0.7276343956,0.6602777255,0.7949910656,50567,44442,56692,45598,17084,74112,,,,36777,31869,41685,59620,34495,84745,58898,54929,62867,60
1047,Alabama,Dallas,32150,45873,0.7008479934,0.6061425112,0.7955534755,35258,30566,39950,22227,3216,41238,,,,30015,26819,33211,43456,7049,79863,61397,54837,67957,81
1049,Alabama,DeKalb,32409,43829,0.739441922,0.6770143988,0.8018694452,50037,46043,54031,50476,46445,54507,69688,44540,94836,,,,36992,25831,48153,50266,46605,53927,66
1051,Alabama,Elmore,44084,55637,0.7923504143,0.7222803665,0.8624204621,71463,66884,76042,78359,74984,81734,63333,42580,84086,47751,43546,51956,54044,29698,78390,80159,76471,83847,42
1053,Alabama,Escambia,35211,46057,0.7645091951,0.6943452406,0.8346731496,47792,41686,53898,63451,43513,83389,,,,29818,26080,33556,,,,48125,40071,56179,65
1055,Alabama,Etowah,36857,47737,0.7720845466,0.6939678444,0.8502012488,55487,51541,59433,,,,108214,6644,209784,36149,32395,39903,51487,47498,55476,55335,52294,58376,51
1057,Alabama,Fayette,34834,53784,0.647664733,0.4992213455,0.7961081205,49205,42951,55459,,,,,,,30568,13767,47369,,,,50268,41557,58979,56
1059,Alabama,Franklin,32189,43361,0.7423491156,0.6317192663,0.8529789648,49611,43649,55573,53750,37229,70271,,,,,,,42520,34762,50278,50474,45890,55058,38
1061,Alabama,Geneva,41561,49093,0.8465769051,0.7025074036,0.9906464065,51585,45555,57615,,,,78889,48790,108988,29041,19668,38414,38971,3606,74336,53198,47511,58885,54
1063,Alabama,Greene,30500,34977,0.8720016011,0.072458582,1.6715446201,35449,30517,40381,,,,,,,26963,23870,30056,,,,63092,19996,106188,85
1065,Alabama,Hale,29129,49574,0.5875862347,0.4700712656,0.7051012038,44702,38084,51320,,,,,,,23398,20376,26420,,,,63974,54039,73909,69
