FIPS,State,County,Injury Deaths # Injury Deaths,Injury Deaths Injury Death Rate,Injury Deaths 95% CI - Low,Injury Deaths 95% CI - High,Injury Deaths National Z-Score,Injury Deaths Injury Death Rate (Hispanic (all races)),Injury Deaths Injury Death Rate (Hispanic (all races)) 95% CI - Low,Injury Deaths Injury Death Rate (Hispanic (all races)) 95% CI - High,Injury Deaths Injury Death Rate (Non-Hispanic AIAN),Injury Deaths Injury Death Rate (Non-Hispanic AIAN) 95% CI - Low,Injury Deaths Injury Death Rate (Non-Hispanic AIAN) 95% CI - High,Injury Deaths Injury Death Rate (Non-Hispanic Asian),Injury Deaths Injury Death Rate (Non-Hispanic Asian) 95% CI - Low,Injury Deaths Injury Death Rate (Non-Hispanic Asian) 95% CI - High,Injury Deaths Injury Death Rate (Non-Hispanic Black),Injury Deaths Injury Death Rate (Non-Hispanic Black) 95% CI - Low,Injury Deaths Injury Death Rate (Non-Hispanic Black) 95% CI - High,Injury Deaths Injury Death Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Injury Deaths Injury Death Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Injury Deaths Injury Death Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Injury Deaths Injury Death Rate (Non-Hispanic 2+ races),Injury Deaths Injury Death Rate (Non-Hispanic 2+ races) 95% CI - Low,Injury Deaths Injury Death Rate (Non-Hispanic 2+ races) 95% CI - High,Injury Deaths Injury Death Rate (Non-Hispanic White),Injury Deaths Injury Death Rate (Non-Hispanic White) 95% CI - Low,Injury Deaths Injury Death Rate (Non-Hispanic White) 95% CI - High
1000,Alabama,,22258,90,89,92,,,,,,,,,,,,,,,,,,,,,,
1001,Alabama,Autauga,192,68,58,78,-0.983659256,,,,,,,,,,84,61,111,,,,,,,68,57,79
1003,Alabama,Baldwin,870,78,72,83,-0.652489972,36,22,56,,,,,,,74,58,94,,,,,,,83,77,89
1005,Alabama,Barbour,106,85,69,101,-0.383071258,,,,,,,,,,86,64,113,,,,,,,90,67,118
1007,Alabama,Bibb,112,100,81,118,0.1313506357,,,,,,,,,,88,55,135,,,,,,,107,86,132
1009,Alabama,Blount,284,98,86,109,0.0543158674,39,20,70,,,,,,,,,,,,,,,,105,92,118
1011,Alabama,Bullock,55,108,81,141,0.4194022453,,,,,,,,,,117,84,159,,,,,,,121,64,206
1013,Alabama,Butler,107,110,89,131,0.4805302278,,,,,,,,,,117,87,154,,,,,,,109,82,142
1015,Alabama,Calhoun,555,97,89,105,0.0295039146,52,27,91,,,,,,,81,65,98,,,,,,,107,97,117
1017,Alabama,Chambers,159,95,80,109,-0.05332606,,,,,,,,,,64,47,87,,,,,,,122,100,145
1019,Alabama,Cherokee,134,104,86,121,0.2586450616,,,,,,,,,,,,,,,,,,,,,
1021,Alabama,Chilton,208,94,81,106,-0.091438303,,,,,,,,,,81,48,129,,,,,,,101,86,116
1023,Alabama,Choctaw,69,109,85,138,0.4468745559,,,,,,,,,,118,80,168,,,,,,,106,75,146
1025,Alabama,Clarke,112,95,78,113,-0.034906541,,,,,,,,,,95,71,126,,,,,,,101,77,130
1027,Alabama,Clay,76,113,89,142,0.5926527859,,,,,,,,,,,,,,,,,,,,,
