FIPS,State,County,Insufficient Sleep % Insufficient Sleep,Insufficient Sleep 95% CI - Low,Insufficient Sleep 95% CI - High
1000,Alabama,,39,37,41
1001,Alabama,Autauga,38,36,39
1003,Alabama,Baldwin,35,33,37
1005,Alabama,Barbour,44,43,45
1007,Alabama,Bibb,40,38,41
1009,Alabama,Blount,37,36,39
1011,Alabama,Bullock,46,45,47
1013,Alabama,Butler,41,40,42
1015,Alabama,Calhoun,38,37,40
1017,Alabama,Chambers,43,42,45
1019,Alabama,Cherokee,38,36,40
1021,Alabama,Chilton,41,39,42
1023,Alabama,Choctaw,43,42,44
1025,Alabama,Clarke,41,40,42
1027,Alabama,Clay,39,37,40
1029,Alabama,Cleburne,37,35,39
1031,Alabama,Coffee,40,38,41
1033,Alabama,Colbert,37,36,39
1035,Alabama,Conecuh,43,42,45
1037,Alabama,Coosa,42,40,43
1039,Alabama,Covington,38,36,39
1041,Alabama,Crenshaw,41,39,42
1043,Alabama,Cullman,36,34,37
1045,Alabama,Dale,38,36,39
1047,Alabama,Dallas,45,43,46
1049,Alabama,DeKalb,37,35,38
1051,Alabama,Elmore,38,36,39
1053,Alabama,Escambia,43,41,44
1055,Alabama,Etowah,40,38,41
1057,Alabama,Fayette,41,39,42
1059,Alabama,Franklin,38,36,39
1061,Alabama,Geneva,39,38,41
1063,Alabama,Greene,48,46,50
1065,Alabama,Hale,45,43,46
1067,Alabama,Henry,39,38,41
1069,Alabama,Houston,40,39,42
1071,Alabama,Jackson,40,38,42
1073,Alabama,Jefferson,38,37,39
1075,Alabama,Lamar,40,38,41
1077,Alabama,Lauderdale,40,38,42
1079,Alabama,Lawrence,39,37,40
1081,Alabama,Lee,36,35,38
1083,Alabama,Limestone,39,37,40
1085,Alabama,Lowndes,46,45,48
1087,Alabama,Macon,46,44,48
1089,Alabama,Madison,39,37,40
1091,Alabama,Marengo,44,42,45
1093,Alabama,Marion,37,35,39
1095,Alabama,Marshall,38,36,39
1097,Alabama,Mobile,40,39,42
1099,Alabama,Monroe,41,39,42
1101,Alabama,Montgomery,42,41,44
1103,Alabama,Morgan,38,37,40
1105,Alabama,Perry,46,45,48
1107,Alabama,Pickens,42,41,43
1109,Alabama,Pike,39,38,41
1111,Alabama,Randolph,39,38,41
1113,Alabama,Russell,44,42,45
1115,Alabama,St. Clair,39,37,40
1117,Alabama,Shelby,34,32,35
1119,Alabama,Sumter,47,45,48
1121,Alabama,Talladega,43,42,44
1123,Alabama,Tallapoosa,39,37,40
1125,Alabama,Tuscaloosa,40,39,42
1127,Alabama,Walker,40,38,42
