FIPS,State,County,Life Expectancy Life Expectancy,Life Expectancy 95% CI - Low,Life Expectancy 95% CI - High,Life Expectancy Life Expectancy (Hispanic (all races)),Life Expectancy Life Expectancy (Hispanic (all races)) 95% CI - Low,Life Expectancy Life Expectancy (Hispanic (all races)) 95% CI - High,Life Expectancy Life Expectancy (Non-Hispanic AIAN),Life Expectancy Life Expectancy (Non-Hispanic AIAN) 95% CI - Low,Life Expectancy Life Expectancy (Non-Hispanic AIAN) 95% CI - High,Life Expectancy Life Expectancy (Non-Hispanic Asian),Life Expectancy Life Expectancy (Non-Hispanic Asian) 95% CI - Low,Life Expectancy Life Expectancy (Non-Hispanic Asian) 95% CI - High,Life Expectancy Life Expectancy (Non-Hispanic Black),Life Expectancy Life Expectancy (Non-Hispanic Black) 95% CI - Low,Life Expectancy Life Expectancy (Non-Hispanic Black) 95% CI - High,Life Expectancy Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander),Life Expectancy Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Life Expectancy Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Life Expectancy Life Expectancy (Non-Hispanic 2+ races),Life Expectancy Life Expectancy (Non-Hispanic 2+ races) 95% CI - Low,Life Expectancy Life Expectancy (Non-Hispanic 2+ races) 95% CI - High,Life Expectancy Life Expectancy (Non-Hispanic White),Life Expectancy Life Expectancy (Non-Hispanic White) 95% CI - Low,Life Expectancy Life Expectancy (Non-Hispanic White) 95% CI - High
1000,Alabama,,73.707860971,73.626808667,73.788913275,,,,,,,,,,,,,,,,,,,,,
1001,Alabama,Autauga,75.263497074,74.522475985,76.004518163,,,,,,,,,,71.912851651,70.080482266,73.745221035,,,,,,,75.619316804,74.791780943,76.446852664
1003,Alabama,Baldwin,76.738313887,76.360550014,77.11607776,89.803456442,82.702480185,96.9044327,,,,85.732157294,79.805345148,91.65896944,71.062315754,69.697481485,72.427150023,,,,,,,76.870919135,76.46208449,77.27975378
1005,Alabama,Barbour,72.377024232,71.209634594,73.54441387,,,,,,,,,,69.789145335,68.080338427,71.497952244,,,,,,,74.579766258,72.954669842,76.204862673
1007,Alabama,Bibb,72.251369089,71.008910285,73.493827894,,,,,,,,,,70.390620364,67.432284003,73.348956725,,,,,,,72.408007355,71.043412717,73.772601993
1009,Alabama,Blount,73.376568119,72.648525289,74.104610949,91.648996836,80.007209069,103.2907846,,,,,,,,,,,,,,,,72.668507187,71.881421699,73.455592676
1011,Alabama,Bullock,72.100111622,70.204000808,73.996222435,,,,,,,,,,69.554901237,67.280133955,71.829668518,,,,,,,78.096319551,74.628167213,81.564471889
1013,Alabama,Butler,73.1898895,71.837401985,74.542377015,,,,,,,,,,71.819794714,69.725995151,73.913594277,,,,,,,73.620623559,71.713282652,75.527964467
1015,Alabama,Calhoun,71.694077832,71.172556232,72.215599432,96.442646215,73.686672709,119.19861972,,,,,,,71.196737655,69.959460721,72.434014589,,,,,,,71.429689012,70.8254064,72.033971624
1017,Alabama,Chambers,72.46019745,71.484922571,73.435472329,,,,,,,,,,72.038193553,70.578812281,73.497574826,,,,,,,72.547229905,71.224254066,73.870205744
