FIPS,State,County,Air Pollution - Particulate Matter Average Daily PM2.5,Air Pollution - Particulate Matter National Z-Score,Drinking Water Violations Presence of Water Violation,Drinking Water Violations National Z-Score,Severe Housing Problems % Severe Housing Problems,Severe Housing Problems 95% CI - Low,Severe Housing Problems 95% CI - High,Severe Housing Problems Severe Housing Cost Burden,Severe Housing Problems Severe Housing Cost Burden 95% CI - Low,Severe Housing Problems Severe Housing Cost Burden 95% CI - High,Severe Housing Problems Overcrowding,Severe Housing Problems Overcrowding 95% CI - Low,Severe Housing Problems Overcrowding 95% CI - High,Severe Housing Problems Inadequate Facilities,Severe Housing Problems Inadequate Facilities 95% CI - Low,Severe Housing Problems Inadequate Facilities 95% CI - High,Severe Housing Problems National Z-Score,Driving Alone to Work % Drive Alone to Work,Driving Alone to Work 95% CI - Low,Driving Alone to Work 95% CI - High,Driving Alone to Work National Z-Score,Driving Alone to Work % Drive Alone (AIAN),Driving Alone to Work % Drive Alone (AIAN) 95% CI - Low,Driving Alone to Work % Drive Alone (AIAN) 95% CI - High,Driving Alone to Work % Drive Alone (Asian),Driving Alone to Work % Drive Alone (Asian) 95% CI - Low,Driving Alone to Work % Drive Alone (Asian) 95% CI - High,Driving Alone to Work % Drive Alone (Black),Driving Alone to Work % Drive Alone (Black) 95% CI - Low,Driving Alone to Work % Drive Alone (Black) 95% CI - High,Driving Alone to Work % Drive Alone (Hispanic),Driving Alone to Work % Drive Alone (Hispanic) 95% CI - Low,Driving Alone to Work % Drive Alone (Hispanic) 95% CI - High,Driving Alone to Work % Drive Alone (White),Driving Alone to Work % Drive Alone (White) 95% CI - Low,Driving Alone to Work % Drive Alone (White) 95% CI - High,Long Commute - Driving Alone % Long Commute - Drives Alone,Long Commute - Driving Alone 95% CI - Low,Long Commute - Driving Alone 95% CI - High,Long Commute - Driving Alone National Z-Score
1000,Alabama,,9.3,,,,13,13,13,11,11,11,2,2,2,1,1,1,,83,83,83,,,,,,,,,,,,,,,,,35,35,36,
1001,Alabama,Autauga,10.0,1.4381526811,No,-0.7691828,15,13,18,13,11,16,2,1,2,2,1,2,0.5763345215,85,83,88,1.0142687656,,,,,,,81,72,89,,,,81,76,86,43,38,48,0.7702160677
1003,Alabama,Baldwin,7.6,0.0131258584,Yes,1.2996536963,12,11,14,11,9,12,2,1,2,1,0,1,-0.097109739,81,80,83,0.4612735177,,,,,,,84,79,90,62,52,72,80,78,82,38,35,40,0.3752347808
1005,Alabama,Barbour,9.4,1.0818959754,No,-0.7691828,15,12,19,12,9,14,4,1,6,1,0,1,0.5076638121,82,80,85,0.5568776285,,,,,,,76,68,84,,,,84,81,88,37,30,43,0.2804392719
1007,Alabama,Bibb,9.8,1.3194004459,No,-0.7691828,12,7,17,9,5,14,1,0,2,2,1,3,-0.1356986,88,84,92,1.3606037969,,,,,,,,,,,,,,,,54,45,62,1.6312752733
1009,Alabama,Blount,9.6,1.2006482107,No,-0.7691828,11,8,13,8,6,10,2,1,3,1,1,2,-0.50147431,85,83,87,0.9420200542,,,,,,,,,,74,26,100,78,74,82,61,56,65,2.1684498236
1011,Alabama,Bullock,9.3,1.0225198578,No,-0.7691828,10,6,13,10,5,14,1,0,3,0,0,1,-0.738352242,89,82,96,1.4456234225,,,,,,,86,75,97,,,,88,85,91,45,32,59,0.9677067112
1013,Alabama,Butler,9.1,0.9037676226,Yes,1.2996536963,12,8,15,10,7,13,1,0,2,1,0,2,-0.308225836,86,83,90,1.1030913489,,,,,,,86,80,92,,,,88,85,92,35,29,41,0.1619448858
1015,Alabama,Calhoun,9.7,1.2600243283,No,-0.7691828,11,9,12,9,8,11,1,1,2,1,0,1,-0.52208484,85,84,87,0.9864156774,,,,,,,87,84,90,92,83,100,87,85,89,31,28,34,-0.161939769
1017,Alabama,Chambers,9.8,1.3194004459,No,-0.7691828,16,13,19,9,7,11,7,4,10,1,0,2,0.7478947888,86,82,89,1.031164396,,,,,,,81,78,85,,,,85,78,92,31,26,36,-0.161939769
