FIPS,State,County,Premature Age-Adjusted Mortality # Deaths,Premature Age-Adjusted Mortality Age-Adjusted Death Rate,Premature Age-Adjusted Mortality 95% CI - Low,Premature Age-Adjusted Mortality 95% CI - High,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Hispanic (all races)),Premature Age-Adjusted Mortality Age-Adjusted Mortality (Hispanic (all races)) 95% CI - Low,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Hispanic (all races)) 95% CI - High,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic AIAN),Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - Low,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - High,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic Asian),Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - Low,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - High,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic Black),Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - Low,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - High,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander),Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic 2+ races),Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - Low,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - High,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic White),Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic White) 95% CI - Low,Premature Age-Adjusted Mortality Age-Adjusted Mortality (Non-Hispanic White) 95% CI - High
1000,Alabama,,98140,549,545,552,,,,,,,,,,,,,,,,,,,,,
1001,Alabama,Autauga,942,472,441,503,,,,,,,,,,606,525,687,,,,,,,456,421,490
1003,Alabama,Baldwin,3789,416,402,431,193,145,253,,,,,,,688,621,754,,,,,,,409,394,425
1005,Alabama,Barbour,579,628,574,682,,,,,,,,,,751,663,840,,,,,,,540,469,611
1007,Alabama,Bibb,501,618,563,674,,,,,,,,,,729,588,871,,,,,,,615,551,679
1009,Alabama,Blount,1239,573,540,607,212,134,318,,,,,,,859,550,1277,,,,,,,602,565,638
1011,Alabama,Bullock,229,630,545,715,,,,,,,,,,762,648,876,,,,,,,374,251,538
1013,Alabama,Butler,449,617,556,678,,,,,,,,,,737,636,838,,,,,,,562,481,643
1015,Alabama,Calhoun,2735,645,620,671,307,202,447,,,,,,,698,638,759,,,,,,,656,626,686
1017,Alabama,Chambers,767,581,537,625,,,,,,,,,,644,570,718,,,,,,,563,505,621
1019,Alabama,Cherokee,702,627,576,678,,,,,,,,,,609,390,906,,,,,,,645,590,699
1021,Alabama,Chilton,950,574,536,612,259,153,409,,,,,,,637,513,782,,,,,,,586,544,628
1023,Alabama,Choctaw,298,585,511,659,,,,,,,,,,698,568,828,,,,,,,511,422,600
1025,Alabama,Clarke,593,690,630,749,,,,,,,,,,866,768,965,,,,,,,589,511,666
1027,Alabama,Clay,322,625,551,698,,,,,,,,,,731,529,985,,,,,,,624,543,705
1029,Alabama,Cleburne,354,621,552,690,,,,,,,,,,,,,,,,,,,,,
1031,Alabama,Coffee,994,523,490,557,247,155,373,,,,,,,690,594,785,,,,,,,525,485,564
1033,Alabama,Colbert,1238,570,537,604,,,,,,,,,,735,639,831,,,,,,,557,519,594
1035,Alabama,Conecuh,370,784,696,872,,,,,,,,,,928,785,1071,,,,,,,698,580,815
1037,Alabama,Coosa,269,613,529,696,,,,,,,,,,829,640,1056,,,,,,,521,434,608
1039,Alabama,Covington,1026,700,654,746,,,,,,,,,,978,816,1141,,,,,,,683,633,732
1041,Alabama,Crenshaw,375,699,623,775,,,,,,,,,,798,636,988,,,,,,,700,611,789
