FIPS,State,County,Children in Poverty % Children in Poverty,Children in Poverty 95% CI - Low,Children in Poverty 95% CI - High,Children in Poverty National Z-Score,Children in Poverty % Children in Poverty (AIAN),Children in Poverty % Children in Poverty (Asian),Children in Poverty % Children in Poverty (Black),Children in Poverty % Children in Poverty (Hispanic),Children in Poverty % Children in Poverty (White)
1000,Alabama,,22,21,23,,,,,,
1001,Alabama,Autauga,16,10,21,-0.445623887,,,26,17,9
1003,Alabama,Baldwin,16,13,19,-0.398145613,,8,33,38,7
1005,Alabama,Barbour,38,26,49,2.1656812005,,,50,69,4
1007,Alabama,Bibb,26,18,33,0.7175938337,,,66,35,27
1009,Alabama,Blount,16,10,22,-0.433754319,25,,17,46,12
1011,Alabama,Bullock,39,24,54,2.3199855921,,,50,60,6
1013,Alabama,Butler,33,22,44,1.6078114772,,,48,28,14
1015,Alabama,Calhoun,26,20,33,0.8006808137,,,36,48,15
1017,Alabama,Chambers,31,21,40,1.3229418313,,,38,72,17
1019,Alabama,Cherokee,23,15,31,0.3852459134,,,52,51,13
1021,Alabama,Chilton,22,15,29,0.3140285019,,,22,30,14
1023,Alabama,Choctaw,31,20,43,1.3941592428,,,47,,20
1025,Alabama,Clarke,33,22,44,1.6078114772,,,41,,19
1027,Alabama,Clay,25,16,34,0.6819851279,,,63,9,13
1029,Alabama,Cleburne,22,14,29,0.2665502276,,,,48,17
1031,Alabama,Coffee,23,17,29,0.3733763448,47,,60,48,9
1033,Alabama,Colbert,27,21,33,0.8718982252,,,57,49,16
1035,Alabama,Conecuh,44,31,57,2.9015944526,,,45,,21
1037,Alabama,Coosa,31,20,42,1.3941592428,,,60,,7
1039,Alabama,Covington,25,17,33,0.6582459908,,,44,23,25
1041,Alabama,Crenshaw,28,19,38,1.0499417539,,,16,29,12
1043,Alabama,Cullman,18,14,23,-0.137015104,,,6,34,15
1045,Alabama,Dale,30,24,37,1.2873331256,,,52,25,23
1047,Alabama,Dallas,47,33,60,3.2458119414,,,48,,21
1049,Alabama,DeKalb,24,18,30,0.5039415992,40,,29,57,20
1051,Alabama,Elmore,15,10,20,-0.528710867,,,21,20,11
1053,Alabama,Escambia,26,16,37,0.8244199509,30,,47,19,18
1055,Alabama,Etowah,25,19,32,0.6938546965,,,37,50,18
1057,Alabama,Fayette,28,19,36,0.9549852053,,,58,,31
1059,Alabama,Franklin,24,16,32,0.5751590107,,,8,33,24
1061,Alabama,Geneva,25,16,34,0.7057242651,,,53,68,15
