FIPS,State,County,Population Population,% Below 18 Years of Age % Less than 18 Years of Age,% 65 and Older % 65 and Over,% Non-Hispanic Black # Black,% Non-Hispanic Black % Black,% American Indian or Alaska Native # American Indian or Alaska Native,% American Indian or Alaska Native % American Indian or Alaska Native,% Asian # Asian,% Asian % Asian,% Native Hawaiian or Other Pacific Islander # Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander % Native Hawaiian or Other Pacific Islander,% Hispanic # Hispanic,% Hispanic % Hispanic,% Non-Hispanic White # Non-Hispanic White,% Non-Hispanic White % Non-Hispanic White,% Not Proficient in English # Not Proficient in English,% Not Proficient in English % Not Proficient in English,% Not Proficient in English 95% CI - Low,% Not Proficient in English 95% CI - High,% Female % Female,% Rural # Rural Residents,% Rural % Rural
1000,Alabama,,5074296,21.905738254,18.026796229,1341182,26.430898,36325,0.7158628507,80615,1.5886932887,5556,0.1094930213,250253,4.9317777284,3283664,64.711715674,49612,1.0474984777,0.9891110604,1.105885895,51.375323789,2123399,42.262760488
1001,Alabama,Autauga,59759,23.22830034,16.410917184,12556,21.011061095,282,0.4718954467,704,1.1780652287,73,0.1221573319,2021,3.3819173681,43057,72.051071805,203,0.3664855301,0.0,0.7942039365,51.29603909,23920,40.676813196
1003,Alabama,Baldwin,246435,20.803863088,21.928703309,20269,8.224886887,1998,0.8107614584,2849,1.1560857833,164,0.0665489886,12411,5.0362164465,204488,82.978473025,1741,0.7866579913,0.5193168582,1.0539991243,51.239069126,87113,37.586455362
1005,Alabama,Barbour,24706,20.36347446,20.622520845,11660,47.195013357,179,0.7245203594,116,0.4695215737,69,0.2792843844,1260,5.0999757144,11185,45.272403465,467,1.9806599372,0.7711872176,3.1901326569,47.122156561,16627,65.919993657
1007,Alabama,Bibb,22005,19.745512384,17.805044308,4563,20.736196319,126,0.572597137,64,0.2908429902,29,0.1317882299,699,3.1765507839,16283,73.996818905,61,0.2891817578,0.0,0.89295157,46.489434219,22293,100.0
1009,Alabama,Blount,59512,22.704664605,19.090267509,1028,1.7273827127,377,0.6334856836,259,0.4352063449,78,0.1310660035,5993,10.070237935,51176,85.99274096,1222,2.1951964359,1.6007278644,2.7896650075,50.290697674,53510,90.489396963
1011,Alabama,Bullock,10202,21.103705156,17.780827289,6870,67.339737306,95,0.9311899628,32,0.3136639875,77,0.7547539698,954,9.351107626,2219,21.75063713,172,1.7612123694,0.2106497909,3.311774948,44.589296216,10357,100.0
1013,Alabama,Butler,18650,22.396782842,21.538873995,8241,44.18766756,88,0.471849866,280,1.5013404826,10,0.0536193029,341,1.8284182306,9468,50.766756032,12,0.066938138,0.0,0.5734572493,53.008042895,13228,69.434675345
1015,Alabama,Calhoun,115788,21.117905137,18.603827685,25504,22.026462155,619,0.5345977131,1022,0.8826475973,131,0.1131378036,5031,4.3450098456,81284,70.200711645,553,0.5042905735,0.2711247226,0.7374564244,51.35851729,42494,36.49401843
1017,Alabama,Chambers,34088,20.719901432,20.725768599,13388,39.274818118,143,0.4195024642,299,0.8771415161,32,0.0938746773,1225,3.5936399906,18561,54.450246421,88,0.2705527885,0.0,0.685610004,52.32046468,17645,50.74485218
