FIPS,State,County,Excessive Drinking % Excessive Drinking,Excessive Drinking 95% CI - Low,Excessive Drinking 95% CI - High,Excessive Drinking National Z-Score,Alcohol-Impaired Driving Deaths # Alcohol-Impaired Driving Deaths,Alcohol-Impaired Driving Deaths # Driving Deaths,Alcohol-Impaired Driving Deaths % Driving Deaths with Alcohol Involvement,Alcohol-Impaired Driving Deaths 95% CI - Low,Alcohol-Impaired Driving Deaths 95% CI - High,Alcohol-Impaired Driving Deaths National Z-Score,Sexually Transmitted Infections # Chlamydia Cases,Sexually Transmitted Infections Chlamydia Rate,Sexually Transmitted Infections National Z-Score
1000,Alabama,,14,13,16,,1193,4748,25,24,26,,31507,625.2,
1001,Alabama,Autauga,15,12,19,-0.614021112,16,55,29,22,36,0.1161335896,341,577.0,0.6955301122
1003,Alabama,Baldwin,16,13,20,-0.162386625,60,166,36,32,40,0.5882059509,760,317.6,-0.266713476
1005,Alabama,Barbour,12,10,15,-1.742637848,11,35,31,23,40,0.2725834804,182,729.0,1.2593736953
1007,Alabama,Bibb,15,12,18,-0.78632783,4,26,15,6,27,-0.801170899,149,662.9,1.0141759266
1009,Alabama,Blount,15,12,18,-0.725222363,11,84,13,8,19,-0.954389275,188,318.4,-0.263745878
1011,Alabama,Bullock,12,9,14,-2.027922729,7,26,27,17,38,-0.028950284,85,823.6,1.6102921358
1013,Alabama,Butler,13,10,16,-1.53528544,17,60,28,22,35,0.065432236,206,1090.9,2.6018407526
1015,Alabama,Calhoun,14,11,17,-1.261282098,11,105,10,6,15,-1.129671097,632,545.0,0.5768262
1017,Alabama,Chambers,13,10,16,-1.538445287,9,36,25,16,34,-0.157653719,223,645.6,0.9500016241
1019,Alabama,Cherokee,14,11,18,-0.949687675,4,36,11,4,21,-1.087178534,69,276.0,-0.421028562
1021,Alabama,Chilton,15,12,19,-0.654379793,14,61,23,16,30,-0.294796725,150,331.3,-0.215893364
1023,Alabama,Choctaw,12,9,15,-1.889534077,9,21,43,32,53,1.0374496133,46,367.0,-0.083464312
1025,Alabama,Clarke,12,10,15,-1.73762696,14,41,34,26,42,0.4544723779,165,725.0,1.2445357063
1027,Alabama,Clay,14,11,17,-1.201060461,10,21,48,37,57,1.3561438354,60,422.8,0.1235256352
1029,Alabama,Cleburne,15,11,18,-0.868985159,7,29,24,14,35,-0.215348363,38,251.6,-0.511540295
1031,Alabama,Coffee,15,12,18,-0.851416557,14,51,27,20,35,0.0063800714,313,577.8,0.69849771
1033,Alabama,Colbert,15,11,18,-0.829905864,18,58,31,24,38,0.2462087861,297,516.8,0.4722183774
1035,Alabama,Conecuh,12,9,15,-1.904316866,3,24,12,4,25,-0.994226052,63,556.1,0.6180016196
1037,Alabama,Coosa,13,11,17,-1.332027963,7,22,32,20,43,0.2986584622,89,851.7,1.7145290087
1039,Alabama,Covington,13,11,17,-1.288496289,9,46,20,12,28,-0.521380821,178,474.4,0.3149356937
1041,Alabama,Crenshaw,14,11,17,-1.198994048,6,19,32,19,44,0.2826475085,108,825.5,1.6173401806
1043,Alabama,Cullman,16,12,19,-0.411992596,28,114,25,20,30,-0.187007135,211,235.8,-0.570150352
1045,Alabama,Dale,15,12,19,-0.639799113,12,47,26,18,34,-0.122054897,306,620.2,0.8557803937
1047,Alabama,Dallas,11,9,14,-2.152477236,17,56,30,23,37,0.2008772804,326,866.6,1.7698005179
1049,Alabama,DeKalb,14,11,18,-1.017241335,19,87,22,16,28,-0.369200746,187,260.4,-0.478896719
1051,Alabama,Elmore,15,12,19,-0.552404297,18,54,33,26,40,0.4000611692,497,556.5,0.6194854185
1053,Alabama,Escambia,13,10,16,-1.464307141,15,49,31,23,38,0.2179501852,223,607.6,0.8090407283
1055,Alabama,Etowah,14,11,17,-1.062927522,14,87,16,11,22,-0.753831704,484,469.2,0.2956463079
1057,Alabama,Fayette,14,11,17,-1.225410264,6,22,27,16,39,-0.005549659,57,353.0,-0.135397273
1059,Alabama,Franklin,14,11,18,-1.06230691,6,38,16,8,25,-0.774075438,101,315.5,-0.27450342
1061,Alabama,Geneva,13,11,17,-1.294744403,11,40,28,19,36,0.0096607472,125,468.1,0.291565861
