FIPS,State,County,Primary Care Physicians # Primary Care Physicians,Primary Care Physicians Primary Care Physicians Rate,Primary Care Physicians Primary Care Physicians Ratio,Primary Care Physicians National Z-Score,Dentists # Dentists,Dentists Dentist Rate,Dentists Dentist Ratio,Dentists National Z-Score,Mental Health Providers # Mental Health Providers,Mental Health Providers Mental Health Provider Rate,Mental Health Providers Mental Health Provider Ratio,Mental Health Providers National Z-Score
1000,Alabama,,3208,64,1571:1,,2517,50,2016:1,,6855,135,740:1,
1001,Alabama,Autauga,26,44,2273:1,0.279896449,18,30,3320:1,0.5476065943,22,37,2716:1,0.7389026435
1003,Alabama,Baldwin,150,63,1595:1,-0.23561911,116,47,2124:1,0.0528758207,272,110,906:1,0.4078911936
1005,Alabama,Barbour,10,40,2496:1,0.388565973,8,32,3088:1,0.4816489441,7,28,3529:1,0.7770680021
1007,Alabama,Bibb,15,67,1498:1,-0.347356687,5,23,4401:1,0.7635592997,11,50,2000:1,0.6796202338
1009,Alabama,Blount,12,20,4920:1,0.9329196372,10,17,5951:1,0.9363119184,16,27,3720:1,0.7835832771
1011,Alabama,Bullock,2,19,5160:1,0.9589889849,2,20,5101:1,0.8545682634,2,20,5101:1,0.8163487075
1013,Alabama,Butler,5,26,3777:1,0.7631932632,7,38,2664:1,0.3312555196,16,86,1166:1,0.5185129618
1015,Alabama,Calhoun,68,59,1705:1,-0.123907304,75,65,1544:1,-0.463805673,183,158,633:1,0.1933640652
1017,Alabama,Chambers,14,41,2467:1,0.3754939986,7,21,4870:1,0.8273924329,4,12,8522:1,0.851761575
1019,Alabama,Cherokee,11,44,2272:1,0.2796181851,4,16,6326:1,0.9653329765,14,55,1807:1,0.6555773575
1021,Alabama,Chilton,10,22,4527:1,0.8842886539,12,26,3824:1,0.6634238021,36,78,1275:1,0.5515071136
1023,Alabama,Choctaw,5,40,2507:1,0.3930626622,6,48,2073:1,0.0188974276,1,8,12439:1,0.868389247
1025,Alabama,Clarke,9,40,2529:1,0.4027625239,8,36,2814:1,0.3896779677,21,93,1072:1,0.4848523486
1027,Alabama,Clay,4,28,3548:1,0.7159815707,2,14,7099:1,1.0156090211,2,14,7099:1,0.8411770575
1029,Alabama,Cleburne,4,26,3776:1,0.7629901426,,,,0.0,8,52,1918:1,0.6699804607
1031,Alabama,Coffee,28,52,1935:1,0.0678039033,19,35,2884:1,0.4148810781,58,106,945:1,0.4283396089
