FIPS,State,County,Unemployment # Unemployed,Unemployment Labor Force,Unemployment % Unemployed,Unemployment National Z-Score
1000,Alabama,,59363,2286036,2.5967657552,
1001,Alabama,Autauga,608,26789,2.2695882638,-1.095868967
1003,Alabama,Baldwin,2417,102849,2.3500471565,-1.029975625
1005,Alabama,Barbour,335,8241,4.0650406504,0.3745509311
1007,Alabama,Bibb,219,8726,2.5097410039,-0.89919131
1009,Alabama,Blount,574,25796,2.2251511862,-1.132261557
1011,Alabama,Bullock,128,4554,2.8107158542,-0.652702229
1013,Alabama,Butler,301,8804,3.4189004998,-0.154617841
1015,Alabama,Calhoun,1399,46140,3.0320762896,-0.471414889
1017,Alabama,Chambers,410,15933,2.5732755915,-0.847158451
1019,Alabama,Cherokee,274,11696,2.3426812585,-1.036008068
1021,Alabama,Chilton,460,20266,2.269811507,-1.095686137
1023,Alabama,Choctaw,165,4298,3.8389948813,0.1894264471
1025,Alabama,Clarke,385,7694,5.0038991422,1.1434469585
1027,Alabama,Clay,139,6130,2.2675367047,-1.09754913
1029,Alabama,Cleburne,148,6141,2.4100309396,-0.980850765
1031,Alabama,Coffee,548,21597,2.5373894522,-0.876548087
1033,Alabama,Colbert,722,23842,3.0282694405,-0.47453258
1035,Alabama,Conecuh,150,4242,3.5360678925,-0.058661375
1037,Alabama,Coosa,113,4459,2.5342004934,-0.879159746
1039,Alabama,Covington,399,15152,2.6333157339,-0.797987434
1041,Alabama,Crenshaw,157,5977,2.6267358206,-0.803376179
1043,Alabama,Cullman,812,39337,2.0642143529,-1.264063839
1045,Alabama,Dale,552,21052,2.6220786624,-0.807190247
1047,Alabama,Dallas,694,13749,5.0476398284,1.1792692258
1049,Alabama,DeKalb,730,31146,2.343800167,-1.035091716
1051,Alabama,Elmore,839,38234,2.1943819637,-1.157460597
1053,Alabama,Escambia,442,14231,3.1058955801,-0.410959176
1055,Alabama,Etowah,1189,39274,3.0274481845,-0.475205163
1057,Alabama,Fayette,180,6591,2.7309968138,-0.717989654
1059,Alabama,Franklin,342,14565,2.3480947477,-1.031574588
1061,Alabama,Geneva,270,11267,2.3963788054,-0.99203144
1063,Alabama,Greene,120,2740,4.3795620438,0.6321342113
1065,Alabama,Hale,232,5961,3.8919644355,0.2328068714
1067,Alabama,Henry,191,7053,2.708067489,-0.736768061
1069,Alabama,Houston,1244,48000,2.5916666667,-0.83209673
1071,Alabama,Jackson,583,23185,2.5145568255,-0.895247302
1073,Alabama,Jefferson,8347,323290,2.5818924186,-0.840101536
1075,Alabama,Lamar,155,5724,2.7078965758,-0.736908034
1077,Alabama,Lauderdale,1131,42919,2.635196533,-0.796447117
1079,Alabama,Lawrence,355,14737,2.4089027618,-0.981774708
1081,Alabama,Lee,1871,79466,2.354466061,-1.02635668
